timestamp,totalCirculatingUSD
2022-08-20,67548288243
2022-08-21,67554275317
2022-08-22,67546502387
2022-08-23,67538125618
2022-08-24,67538558573
2022-08-25,67551360806
2022-08-26,67637693999
2022-08-27,67548174005
2022-08-28,67554399518
2022-08-29,67545982884
2022-08-30,67548911675
2022-08-31,67552813300
2022-09-01,67551582890
2022-09-02,67551756492
2022-09-03,67550125170
2022-09-04,67552573842
2022-09-05,67549551675
2022-09-06,67542196487
2022-09-07,67547079304
2022-09-08,67547199534
2022-09-09,67550159729
2022-09-10,67556610985
2022-09-11,67676845587
2022-09-12,67742707863
2022-09-13,67821638257
2022-09-14,67898772162
2022-09-15,67883041497
2022-09-16,67923689321
2022-09-17,67923585946
2022-09-18,67920776064
2022-09-19,67923585944
2022-09-20,67956589961
2022-09-21,67966594001
2022-09-22,67975491267
2022-09-23,67951949274
2022-09-24,67949388004
2022-09-25,67950359007
2022-09-26,67952625135
2022-09-27,67951354338
2022-09-28,67950364285
2022-09-29,67947676809
2022-09-30,67954353699
2022-10-01,67948542706
2022-10-02,67949182064
2022-10-03,67944572025
2022-10-04,67947697335
2022-10-05,68074624852
2022-10-06,68218492035
2022-10-07,68226676713
2022-10-08,68328206686
2022-10-09,68376959555
2022-10-10,68375298920
2022-10-11,68420214759
2022-10-12,68415641082
2022-10-13,68415978378
2022-10-14,68414880928
2022-10-15,68427706686
2022-10-16,68432883242
2022-10-17,68432359085
2022-10-18,68437706685
2022-10-19,68451542494
2022-10-20,68453576637
2022-10-21,68447806562
2022-10-22,68448256112
2022-10-23,68452258966
2022-10-24,68448613412
2022-10-25,68478655756
2022-10-26,68511756739
2022-10-27,68727004424
2022-10-28,68892878369
2022-10-29,68977692179
2022-10-30,69116157095
2022-10-31,69271293754
2022-11-01,69415082044
2022-11-02,69338547020
2022-11-03,69340998807
2022-11-04,69352564431
2022-11-05,69354720562
2022-11-06,69437661896
2022-11-07,69421840658
2022-11-08,69518116385
2022-11-09,69877980214
2022-11-10,68208873249
2022-11-11,68152740757
2022-11-12,67271876433
2022-11-13,66345381026
2022-11-14,66291749922
2022-11-15,65956265903
2022-11-16,65894873297
2022-11-17,65875492621
2022-11-18,65888679588
2022-11-19,65869148638
2022-11-20,65841850776
2022-11-21,65796033621
2022-11-22,65431303413
2022-11-23,65457735740
2022-11-24,65274275864
2022-11-25,65302197652
2022-11-26,65335566807
2022-11-27,65321148012
2022-11-28,65316885047
2022-11-29,65326687971
2022-11-30,65256715971
2022-12-01,65352829103
2022-12-02,65359364386
2022-12-03,65443085957
2022-12-04,65495531803
2022-12-05,65492257484
2022-12-06,65572109061
2022-12-07,65675363712
2022-12-08,65672735697
2022-12-09,65697842712
2022-12-10,65698342212
2022-12-11,65698342212
2022-12-12,65698342212
2022-12-13,65795364654
2022-12-14,65977518212
2022-12-15,65967147441
2022-12-16,66030168212
2022-12-17,66046429818
2022-12-18,66160482663
2022-12-19,66155190882
2022-12-20,66203341240
2022-12-21,66233093212
2022-12-22,66237845405
2022-12-23,66234588490
2022-12-24,66237795405
2022-12-25,66237795405
2022-12-26,66237795405
2022-12-27,66240744514
2022-12-28,66220423316
2022-12-29,66221318672
2022-12-30,66231184474
2022-12-31,66223237023
2023-01-01,66237201876
2023-01-02,66229859346
2023-01-03,66233172164
2023-01-04,66232840220
2023-01-05,66236484982
2023-01-06,66238632792
2023-01-07,66243602677
2023-01-08,66247923826
2023-01-09,66275348317
2023-01-10,66265138847
2023-01-11,66263599730
2023-01-12,66265897676
2023-01-13,66270292018
2023-01-14,66270814051
2023-01-15,66354669258
2023-01-16,66374033440
2023-01-17,66485923929
2023-01-18,66492831604
2023-01-19,66477485276
2023-01-20,66476820501
2023-01-21,66484133025
2023-01-22,66703495301
2023-01-23,66765654159
2023-01-24,66847055676
2023-01-25,67039191545
2023-01-26,67187728354
2023-01-27,67335036407
2023-01-28,67517343369
2023-01-29,67639905326
2023-01-30,67778453765
2023-01-31,67806044005
2023-02-01,67798826675
2023-02-02,67815863019
2023-02-03,68036211442
2023-02-04,68028048893
2023-02-05,68071573715
2023-02-06,68073000195
2023-02-07,68181990160
2023-02-08,68184621866
2023-02-09,68178436345
2023-02-10,68187940008
2023-02-11,68318922892
2023-02-12,68388188510
2023-02-13,68412500195
2023-02-14,69157627122
2023-02-15,69512709640
2023-02-16,69794648104
2023-02-17,70153203879
2023-02-18,70286590658
2023-02-19,70415905100
2023-02-20,70415867086
2023-02-21,70436679657
2023-02-22,70461120891
2023-02-23,70591325939
2023-02-24,70688492884
2023-02-25,70791940347
2023-02-26,70846363789
2023-02-27,70876378483
2023-02-28,70919778481
2023-03-01,70968174583
2023-03-02,71063250396
2023-03-03,71109533437
2023-03-04,71356058935
2023-03-05,71438255243
2023-03-06,71479265039
2023-03-07,71581963508
2023-03-08,71722058691
2023-03-09,71725958692
2023-03-10,71792276224
2023-03-11,72291373373
2023-03-12,72120358309
2023-03-13,73283028734
2023-03-14,73183773107
2023-03-15,73473760305
2023-03-16,74692029566
2023-03-17,75614823945
2023-03-18,76554536232
2023-03-19,76823190941
2023-03-20,76635317270
2023-03-21,77694409633
2023-03-22,77893564136
2023-03-23,78243089847
2023-03-24,78871146827
2023-03-25,79568045897
2023-03-26,79711413324
2023-03-27,79176880832
2023-03-28,79528056028
2023-03-29,79593057824
2023-03-30,79633547900
2023-03-31,79904009619
2023-04-01,79766196973
2023-04-02,79766196973
2023-04-03,79955101474
2023-04-04,80061128106
2023-04-05,80077211664
2023-04-06,80180533983
2023-04-07,80268223491
2023-04-08,80273380845
2023-04-09,80363594033
2023-04-10,80203187657
2023-04-11,80503925004
2023-04-12,80523709558
2023-04-13,80731588297
2023-04-14,80999225951
2023-04-15,81058254514
2023-04-16,80994375051
2023-04-17,80923461589
2023-04-18,81133975239
2023-04-19,81164195713
